id,user_age_group,gender,subscription_plan,monthly_price_inr,subscription_duration_days,payment_method,num_payment_failures_90d,days_since_last_login,avg_session_duration_min,sessions_per_week,session_trend_30d,features_used_pct,num_support_tickets_90d,avg_ticket_resolution_hrs,unresolved_tickets,app_crash_count_30d,rating_given,num_referrals_made,competitor_app_installed,price_increase_experienced,used_discount_code,device_type,os_version_age_months,internet_speed_category,onboarding_completed,content_category_preference,days_since_last_feature_use,notification_opt_in,churn_reason
1,middle_aged,male,student,75.0,1235,upi,6,27,20.2,2.3,declining,36.0,2,173.3,0,0,2.0,0,false,false,false,mid_android,16.0,fast_4g,false,education,68.0,true,found_alternative
2,adult,male,basic,138.0,465,upi,3,124,3.6,5.7,inactive,16.9,3,10.6,0,0,0.0,0,false,true,true,budget_android,27.0,moderate_3g,false,entertainment,27.0,false,lost_interest
3,young_adult,male,student,140.0,1805,upi,8,29,68.0,4.7,declining,21.3,0,0.0,0,0,2.4,0,false,false,false,flagship_android,4.0,moderate_3g,false,mixed,323.0,false,found_alternative
4,teen,male,basic,149.0,1049,debit_card,1,76,11.8,7.9,stable,61.9,4,36.4,0,8,1.4,1,true,true,true,budget_android,11.0,slow_2g,true,productivity,360.0,false,price_sensitive
5,young_adult,female,standard,224.0,678,upi,1,356,49.8,2.7,inactive,22.5,0,0.0,0,0,0.0,0,true,false,false,multi_device,31.0,broadband,false,fitness,206.0,true,lost_interest
6,young_adult,female,basic,100.0,1018,upi,2,111,14.2,,declining,48.4,17,112.9,1,25,2.6,0,true,false,false,budget_android,49.0,broadband,true,news,365.0,false,found_alternative
7,adult,male,standard,253.0,1050,upi,2,265,70.6,4.5,inactive,45.9,7,37.4,0,0,1.7,3,false,false,true,ipad,17.0,broadband,false,social,175.0,true,lost_interest
8,adult,male,basic,139.0,616,upi,4,170,2.4,0.8,stable,19.1,16,12.6,0,37,3.0,1,false,false,false,budget_android,,fast_4g,true,entertainment,336.0,false,bad_experience
9,adult,male,student,147.0,1452,debit_card,3,109,32.7,11.2,declining,59.8,4,123.2,7,0,1.7,2,false,false,false,budget_android,48.0,fast_4g,false,productivity,33.0,true,bad_experience
10,adult,female,student,69.0,158,debit_card,12,43,0.2,1.2,declining,59.8,5,139.7,4,30,,7,false,true,false,desktop,4.0,fast_4g,false,mixed,140.0,false,price_sensitive
11,teen,female,basic,185.0,1283,debit_card,10,147,11.0,15.1,inactive,25.0,11,91.9,4,35,4.7,0,true,true,true,mid_android,4.0,fast_4g,false,productivity,156.0,true,found_alternative
12,young_adult,non_binary,basic,112.0,1170,debit_card,5,113,0.2,2.3,increasing,58.2,7,9.6,1,0,1.2,6,true,true,false,mid_android,50.0,slow_2g,true,productivity,274.0,true,price_sensitive
